_id,GRUPOSERVICO_CODIGO,GRUPOSERVICO_DESCRICAO,SERVICO_CODIGO,SERVICO_DESCRICAO,LOGRADOURO,NUMERO,BAIRRO,RPA,DATA_DEMANDA,SITUACAO,DATA_ULT_SITUACAO
1,7,ARBORIZAÇÃO,8,PODA DE ARVORES,REF  AVENIDA 17 DE AGOSTO,833,PARNAMIRIM,3,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
2,7,ARBORIZAÇÃO,8,PODA DE ARVORES,RUA  ARRUDA CAMARA,89,IMBIRIBEIRA,6,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
3,7,ARBORIZAÇÃO,8,PODA DE ARVORES,RUA  ESPINHEIRO,377,GRACAS,3,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
4,7,ARBORIZAÇÃO,8,PODA DE ARVORES,RUA  JOAO RAMOS,301,GRACAS,3,2021-04-09T00:00:00,PENDENTE,2021-04-09T00:00:00
5,7,ARBORIZAÇÃO,8,PODA DE ARVORES,RUA  RODOLFO RANGEL MOREIRA,00,MADALENA,4,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
6,7,ARBORIZAÇÃO,8,PODA DE ARVORES,RUA  TAPACURA,151,POCO,3,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
7,7,ARBORIZAÇÃO,8,PODA DE ARVORES,RUA DOM ANTONIO DE MACEDO,S/N,VARZEA,4,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
8,7,ARBORIZAÇÃO,8,PODA DE ARVORES,RUA DR JOSE DE BARROS,S/N,DERBY,3,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
9,7,ARBORIZAÇÃO,8,PODA DE ARVORES,RUA DRA AMARILES BARBOSA DE AGUIAR,210,MADALENA,4,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
10,7,ARBORIZAÇÃO,8,PODA DE ARVORES,RUA MONSENHOR SILVA,329,MADALENA,4,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
11,7,ARBORIZAÇÃO,15,ERRADICAÇÃO DE ARVORES,RUA  AMELIA,652,GRACAS,3,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
12,7,ARBORIZAÇÃO,16,VISTORIA DE ARVORES,AV  MANOEL GONCALVES DA LUZ,S/N,MUSTARDINHA,5,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
13,7,ARBORIZAÇÃO,16,VISTORIA DE ARVORES,RUA  BRAZOPOLIS,SN,BRASILIA TEIMOSA,6,2021-04-09T00:00:00,PREPARAÇÃO,2021-04-09T00:00:00
14,7,ARBORIZAÇÃO,16,VISTORIA DE ARVORES,RUA  CERES,159,IPUTINGA,4,2021-04-09T00:00:00,PREPARAÇÃO,2021-04-09T00:00:00
15,7,ARBORIZAÇÃO,16,VISTORIA DE ARVORES,RUA  ESTADO DE ISRAEL,SN,ILHA DO LEITE,1,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
16,7,ARBORIZAÇÃO,16,VISTORIA DE ARVORES,RUA  FUTURO,122,GRACAS,3,2021-04-09T00:00:00,EXECUÇÃO,2021-04-09T00:00:00
17,7,ARBORIZAÇÃO,16,VISTORIA DE ARVORES,RUA  RIO XINGU,602,IBURA,6,2021-04-09T00:00:00,PREPARAÇÃO,2021-04-09T00:00:00
18,7,ARBORIZAÇÃO,16,VISTORIA DE ARVORES,RUA  VITORIANO EBLA,34,JARDIM SAO PAULO,5,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00
"19,11,DRENAGEM,4,""LIMP. DE GALERIAS,VALETAS,SARJETAS"",RUA  DEMOSTENES DE OLINDA,S/N,MADALENA,4,2021-04-09T00:00:00,CADASTRADA,2021-04-09T00:00:00"
